Feature,Data_Type,Missing_Values,Unique_Values
numerical__Customer_Age,float64,0,56
numerical__Income,float64,0,1965
numerical__Total_Children,float64,0,4
numerical__Family_Size,float64,0,4
numerical__Total_Spending,float64,0,1114
numerical__Average_Spending_per_Purchase,float64,0,1327
numerical__Total_Purchases,float64,0,33
numerical__NumWebPurchases,float64,0,15
numerical__NumCatalogPurchases,float64,0,14
numerical__NumStorePurchases,float64,0,14
numerical__Total_Campaign_Acceptance,float64,0,5
numerical__Digital_Engagement,float64,0,25
numerical__NumWebVisitsMonth,float64,0,16
numerical__Recency,float64,0,100
numerical__Customer_Tenure_Years,float64,0,663
numerical__Deal_Dependency,float64,0,128
numerical__NumDealsPurchases,float64,0,15
