Random_State,Cluster_0_Count,Cluster_1_Count,Silhouette_Score,Davies_Bouldin_Index,Adjusted_Rand_Index,Training_Time_Seconds
0,1207,1030,0.2929,1.3796,1.0,0.2805
10,1207,1030,0.2929,1.3796,1.0,0.2087
20,1030,1207,0.2929,1.3796,1.0,0.1095
30,1030,1207,0.2929,1.3796,1.0,0.1205
40,1030,1207,0.2929,1.3796,1.0,0.092
42,1207,1030,0.2929,1.3796,1.0,0.1257
50,1207,1030,0.2929,1.3796,1.0,0.1199
60,1030,1207,0.2929,1.3796,1.0,0.1451
70,1207,1030,0.2929,1.3796,1.0,0.0908
100,1207,1030,0.2929,1.3796,1.0,0.275
