TSNE1,TSNE2,KMeans_Cluster
21.93808,15.144028,1
-42.943348,28.0499,0
31.161236,-15.074162,1
-32.907738,-16.993488,0
-2.859859,-6.38406,0
14.155621,-4.944848,1
-6.659241,12.3686285,1
-33.755733,0.33499086,0
-38.58863,-29.429203,0
-28.818554,15.875449,0
-29.495573,-30.519764,0
-1.0876243,-45.426918,0
41.941746,-25.87506,1
-8.834031,31.519915,0
-1.421161,-46.951275,0
50.6137,6.28087,1
-27.368591,41.249416,0
10.175793,-32.99508,0
21.471659,29.706707,1
-23.634943,-4.4818635,0
7.641361,-40.84072,0
7.112762,-12.145361,0
27.06159,31.516497,1
13.950238,-7.348631,1
-1.6951435,10.535923,0
-0.8247092,-39.677128,0
-19.38486,34.688107,0
-0.0762797,15.351983,1
-14.461807,-18.718508,0
59.829536,-1.1281966,1
-12.5450115,-44.907654,0
3.4158657,-31.150333,1
-45.966763,-24.205189,0
-21.410156,38.312057,0
39.335762,-12.472945,1
-50.62388,27.590317,0
10.3611,-1.9460479,1
-24.606087,-10.843856,0
-18.70244,-18.285763,0
37.416912,6.4123573,1
26.904121,-5.077683,1
-27.775276,-4.3276215,0
-39.228523,-37.677433,0
0.9577771,-30.33811,0
-30.803244,-15.874906,0
46.25151,-29.824928,1
-41.371872,-2.713081,0
-25.795021,-44.38556,0
-50.215435,41.820908,0
-4.2994294,46.197353,1
4.220408,-17.10504,1
47.19137,-15.014002,1
-30.850233,-4.9626164,0
62.14135,14.815226,1
-1.6962178,38.44375,0
53.953194,-2.1353638,1
47.833466,-17.119518,1
-18.276428,-31.445183,0
-28.51936,-8.023681,0
-6.455728,0.7042451,1
57.95892,13.701078,1
-0.29730958,37.28043,1
12.450032,11.18216,1
14.750816,-10.931021,1
36.84265,-22.490713,1
-28.496635,-38.91167,0
-45.151993,22.762789,0
30.228554,18.045473,1
13.211029,-11.135512,1
-2.2689621,42.219494,0
40.5554,-14.479898,1
-36.256714,-2.149674,0
13.161416,18.91616,1
-8.0069475,35.57345,1
-0.3533141,-32.06137,0
-30.369545,-39.5009,0
41.935272,-10.198327,1
52.82654,11.154467,1
-11.09634,-38.585213,0
14.289651,-36.069508,1
-25.47278,2.0885694,0
-32.258026,-29.541943,0
-24.75277,-10.0764,0
3.4158776,-31.150173,1
51.17978,-31.865574,1
-45.165146,37.535583,0
-20.455822,49.846012,0
11.51939,30.838545,0
64.672745,3.4678714,1
-5.8093696,-20.309025,0
-6.5728087,45.518734,0
-48.23068,27.126528,0
44.316128,-29.696154,1
-22.973644,-33.82604,0
-23.088356,-13.860333,0
-23.480164,-27.774183,0
5.073823,25.224451,1
-31.823355,33.76464,0
57.59446,1.2233398,1
10.934592,-43.111332,1
-16.072178,-6.3454833,0
-30.09567,-20.635763,0
18.401012,9.524265,1
37.86357,-22.521105,1
35.273968,-28.071947,1
-21.084812,-39.632645,0
-20.524237,33.930515,0
1.2202635,33.84471,1
-34.638996,-4.025626,0
40.95224,-15.979748,1
17.33167,-1.7313035,1
47.464214,16.636608,1
11.948455,29.86279,1
55.635643,19.04815,1
-7.3709083,12.783483,0
-36.971504,28.636602,0
64.864845,12.378588,1
-13.843597,14.73978,0
-42.158844,37.848377,0
-30.26987,-17.640747,0
8.079998,4.8153725,1
-37.448944,-15.981791,0
-48.017014,36.173832,0
-28.106272,-41.478405,0
54.637413,19.137394,1
43.32815,-24.952456,1
52.55161,-22.779669,1
-39.45221,30.469618,0
-0.7515906,4.463767,0
-6.4221854,30.91876,1
2.79489,1.5795364,1
-8.291788,39.29271,0
31.030596,-15.124754,1
21.104687,1.0812117,1
-15.618042,39.11836,0
52.62441,9.276532,1
-39.43068,-7.459255,0
-31.979757,46.254265,0
-43.112953,17.28473,0
-44.474068,36.144337,0
51.625126,-17.42689,1
22.198103,-11.013508,1
42.7506,-19.814358,1
17.024555,8.519385,1
-19.320177,0.40347487,0
-13.322344,31.708605,0
-34.474182,-41.48689,0
-30.360998,-35.75501,0
-20.48367,45.62075,0
-0.4755218,-30.916815,0
-12.351867,2.9674082,1
9.448697,29.79776,1
-8.772996,12.456496,0
-36.095715,-18.156971,0
13.3002,8.425853,1
46.887783,10.328491,1
-2.4875636,4.8437824,0
-57.341892,31.012524,0
-10.185077,-26.872725,0
41.806644,-23.687159,1
-57.548214,37.030716,0
36.371063,-9.424314,1
-25.883871,-10.991397,0
48.421295,-18.184929,1
15.238257,-20.826258,1
-50.333447,40.60127,0
46.052406,6.1513724,1
6.553422,-34.34138,1
50.97217,-24.940504,1
-40.22244,36.96897,0
-42.593052,33.1218,0
-27.806404,-6.3871765,0
-32.252373,20.40451,0
-39.104786,28.423191,0
-10.45003,-18.74319,0
19.636475,11.214236,1
54.308655,5.0041175,1
-44.63894,34.10837,0
-56.489075,32.775543,0
57.59412,1.2230595,1
-5.3567705,-9.832203,0
-24.831661,-14.912501,0
32.86164,-19.405159,1
-29.089619,-27.670244,0
-2.9121408,-34.17706,0
-35.133327,-34.658894,0
-28.861168,-19.389517,0
1.5152091,3.817322,1
49.05716,-18.291307,1
-30.871061,34.482086,0
-45.78807,-25.324709,0
51.966084,-12.835558,1
-26.402393,-6.050191,0
-17.182634,34.96974,0
-36.45403,23.078365,0
48.822643,-28.878952,1
61.77146,2.4893534,1
41.04929,-15.767021,1
-18.872473,48.65298,0
11.19034,29.38445,1
45.291656,-26.955246,1
17.409443,10.708048,1
54.09059,18.858187,1
-44.460842,36.92522,0
-4.3180866,-51.239952,0
-23.668816,-47.076294,0
-17.849394,40.35078,0
-15.904125,-21.296919,0
19.68597,22.805607,1
2.6749885,-0.6342933,0
33.78905,-24.485752,1
-19.813765,43.55473,0
-9.578184,45.16001,0
52.732876,-24.752262,1
-15.862213,14.7460985,0
-58.509575,38.590977,0
55.017807,4.0413513,1
-11.516966,-4.0482025,0
18.887232,10.752085,1
-12.341154,-23.893717,0
44.646557,-26.836567,1
12.802725,-8.949427,1
-20.525305,3.1715107,0
14.178753,15.520963,1
