ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Age,Customer_Tenure_Years,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Average_Spending_per_Purchase,Digital_Engagement,Deal_Dependency,Education_2N Cycle,Education_Basic,Education_Graduation,Education_Master,Education_Phd,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_Yolo,Preferred_Shopping_Channel_Catalog,Preferred_Shopping_Channel_Store,Preferred_Shopping_Channel_Web,Product_Preference_Fish,Product_Preference_Fruits,Product_Preference_Gold,Product_Preference_Meat,Product_Preference_Sweets,Product_Preference_Wine,Customer_Activity_Level_Highly Active,Customer_Activity_Level_Inactive,Customer_Activity_Level_Moderately Active
5524,1957,58138.0,0,0,2012-09-04,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,68,1.82,0,1,1551.5,22,0,70.52272727272727,15,0.13636363636363635,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2174,1954,46344.0,1,1,2014-03-08,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,71,0.31,2,3,27.0,4,0,6.75,6,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4141,1965,71613.0,0,0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,60,0.85,0,1,776.0,20,0,38.8,12,0.05,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
6182,1984,26646.0,1,0,2014-02-10,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,41,0.38,1,2,53.0,6,0,8.833333333333334,8,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5324,1981,58293.0,1,0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,44,0.44,1,2,422.0,14,0,30.142857142857142,10,0.35714285714285715,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
7446,1967,62513.0,0,1,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,58,0.8,1,2,716.0,20,0,35.8,12,0.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
965,1971,55635.0,0,1,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,54,1.62,1,2,590.0,17,0,34.705882352941174,13,0.23529411764705882,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
6177,1985,33454.0,1,0,2013-05-08,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,40,1.14,1,2,169.0,8,0,21.125,12,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4855,1974,30351.0,1,0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,51,1.06,1,2,46.0,5,0,9.2,12,0.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5899,1950,5648.0,1,1,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,75,0.3,2,3,49.0,1,1,49.0,21,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1994,1983,51381.5,1,0,2013-11-15,11,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,42,42,0.62,1,2,19.0,3,0,6.333333333333333,8,0.3333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
387,1976,7500.0,0,0,2012-11-13,59,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,3,11,0,49,49,1.62,0,1,61.0,5,0,12.2,10,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2125,1959,63033.0,0,0,2013-11-15,82,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,3,11,0,66,66,0.62,0,1,966.5,15,0,64.43333333333334,5,0.06666666666666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
8180,1952,59354.0,1,1,2013-11-15,53,233,2,53,3.0,5,14.0,3,6,1,5,6,0,0,0,0,0,0,3,11,0,73,73,0.62,2,3,310.0,12,0,25.833333333333332,12,0.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2569,1987,17323.0,0,0,2012-10-10,38,3,14,17,6.0,1,5.0,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,38,1.72,0,1,46.0,4,0,11.5,9,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2114,1946,82800.0,0,0,2012-11-24,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,79,1.59,0,1,1315.0,25,2,52.6,10,0.04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
9736,1980,41850.0,1,1,2012-12-24,51,53,5,19,2.0,13,4.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,45,1.51,2,3,96.0,6,0,16.0,11,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4939,1946,37760.0,0,0,2012-08-31,20,84,5,38,120.5,12,28.0,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,79,1.83,0,1,287.5,11,0,26.136363636363637,11,0.18181818181818182,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
6565,1949,76995.0,0,1,2013-03-28,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,76,1.25,1,2,1732.5,24,1,72.1875,16,0.08333333333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2278,1985,33812.0,1,0,2012-11-03,86,4,17,19,30.0,24,39.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,40,1.65,1,2,133.0,6,0,22.166666666666668,8,0.3333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
9360,1982,37040.0,0,0,2012-08-08,41,86,2,73,69.0,38,48.0,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,43,1.89,0,1,316.0,11,0,28.727272727272727,12,0.09090909090909091,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5376,1979,2447.0,1,0,2013-01-06,42,1,1,556,1.0,1,1.0,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,46,1.48,1,2,561.0,28,0,20.035714285714285,1,0.5357142857142857,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1993,1949,58607.0,0,1,2012-12-23,63,867,0,86,0.0,0,19.0,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,76,1.51,1,2,972.0,14,1,69.42857142857143,10,0.21428571428571427,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4047,1954,65324.0,0,1,2014-01-11,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,71,0.46,1,2,544.0,17,0,32.0,10,0.17647058823529413,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1409,1951,40689.0,0,1,2013-03-18,69,270,3,27,39.0,6,99.0,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,74,1.28,1,2,444.0,13,0,34.15384615384615,15,0.5384615384615384,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
7892,1969,18589.0,0,0,2013-01-02,89,6,4,25,15.0,12,13.0,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,56,1.49,0,1,75.0,6,0,12.5,9,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2404,1976,53359.0,1,1,2013-05-27,4,173,4,30,3.0,6,41.0,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,49,1.09,2,3,257.0,10,0,25.7,12,0.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
5255,1986,51381.5,1,0,2013-02-20,19,5,1,3,3.0,81,126.5,0,27,0,0,1,0,0,0,0,0,0,3,11,0,39,39,1.35,1,2,219.5,27,0,8.12962962962963,28,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9422,1989,38360.0,1,0,2013-05-31,26,36,2,42,20.0,21,10.0,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,36,1.08,1,2,131.0,7,0,18.714285714285715,5,0.2857142857142857,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1966,1965,84618.0,0,0,2013-11-22,96,684,81,556,21.0,66,0.0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,60,0.6,0,1,1408.0,25,1,56.32,8,0.04,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6864,1989,10979.0,0,0,2014-05-22,34,8,4,10,2.0,2,4.0,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,36,0.1,0,1,30.0,6,0,5.0,8,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3033,1963,38620.0,0,0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,62,1.13,0,1,318.0,10,0,31.8,5,0.1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5710,1970,40548.0,0,1,2012-10-10,31,110,0,5,2.0,0,3.0,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,55,1.72,1,2,120.0,7,1,17.142857142857142,7,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
7373,1952,46610.0,0,2,2012-10-29,8,96,12,96,33.0,22,43.0,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,73,1.66,2,3,302.0,11,0,27.454545454545453,10,0.5454545454545454,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
8755,1946,68657.0,0,0,2013-02-20,4,482,34,471,119.0,68,22.0,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,79,1.35,0,1,1196.0,17,0,70.3529411764706,10,0.058823529411764705,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
10738,1951,49389.0,1,1,2013-08-29,55,40,0,19,2.0,1,3.0,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,74,0.83,2,3,65.0,5,0,13.0,9,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4339,1970,67353.0,0,1,2013-12-31,37,702,17,151,0.0,8,35.0,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,55,0.49,1,2,913.0,23,0,39.69565217391305,7,0.21739130434782608,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
10755,1976,23718.0,1,0,2013-09-02,76,6,3,14,15.0,7,36.0,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,49,0.82,1,2,81.0,6,0,13.5,10,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
