Feature,Original Min,Original Max,StandardScaler Mean,StandardScaler Std,MinMax Min,MinMax Max
Customer_Age,29.0,85.0,0.0,1.0,0.0,1.0
Income,1730.0,117418.0,-0.0,1.0,0.0,1.0
Total_Children,0.0,3.0,0.0,1.0,0.0,1.0
Family_Size,1.0,4.0,0.0,1.0,0.0,1.0
Total_Spending,5.0,2098.5,-0.0,1.0,0.0,1.0
Average_Spending_per_Purchase,0.0,6.444,0.0,1.0,0.0,1.0
MntWines,0.0,7.111,-0.0,1.0,0.0,1.0
MntFruits,0.0,4.407,0.0,1.0,0.0,1.0
MntMeatProducts,0.0,6.323,-0.0,1.0,0.0,1.0
MntFishProducts,0.0,4.8,0.0,1.0,0.0,1.0
MntSweetProducts,0.0,4.407,0.0,1.0,0.0,1.0
MntGoldProds,0.0,4.848,-0.0,1.0,0.0,1.0
Total_Purchases,0.0,32.0,-0.0,1.0,0.0,1.0
NumWebPurchases,0.0,3.332,0.0,1.0,0.0,1.0
NumCatalogPurchases,0.0,3.367,0.0,1.0,0.0,1.0
NumStorePurchases,0.0,13.0,0.0,1.0,0.0,1.0
Total_Campaign_Acceptance,0.0,1.609,0.0,1.0,0.0,1.0
Response,0.0,0.693,0.0,1.0,0.0,1.0
Digital_Engagement,0.0,28.0,-0.0,1.0,0.0,1.0
NumWebVisitsMonth,0.0,20.0,0.0,1.0,0.0,1.0
Recency,0.0,99.0,0.0,1.0,0.0,1.0
Customer_Tenure_Years,0.0,1.91,0.0,1.0,0.0,1.0
Deal_Dependency,0.0,2.773,-0.0,1.0,0.0,1.0
NumDealsPurchases,0.0,2.773,0.0,1.0,0.0,1.0
