Customer_Age,Income,Total_Children,Family_Size,Total_Spending,Average_Spending_per_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Campaign_Acceptance,Response,Digital_Engagement,NumWebVisitsMonth,Recency,Customer_Tenure_Years,Deal_Dependency,NumDealsPurchases
68,58138.0,0,1,1551.5,70.52272727272727,635,81,546,120.5,81,88.0,22,8,10,4,0,1,15,7,58,1.82,0.13636363636363635,3
71,46344.0,2,3,27.0,6.75,11,1,6,2.0,1,6.0,4,1,1,2,0,0,6,5,38,0.31,0.5,2
60,71613.0,0,1,776.0,38.8,426,49,127,111.0,21,42.0,20,8,2,10,0,0,12,4,26,0.85,0.05,1
41,26646.0,1,2,53.0,8.833333333333334,11,4,20,10.0,3,5.0,6,2,0,4,0,0,8,6,26,0.38,0.3333333333333333,2
44,58293.0,1,2,422.0,30.142857142857142,173,43,118,46.0,27,15.0,14,5,3,6,0,0,10,5,94,0.44,0.35714285714285715,5
58,62513.0,1,2,716.0,35.8,520,42,98,0.0,42,14.0,20,6,4,10,0,0,12,6,16,0.8,0.1,2
54,55635.0,1,2,590.0,34.705882352941174,235,65,164,50.0,49,27.0,17,7,3,7,0,0,13,6,34,1.62,0.23529411764705882,4
40,33454.0,1,2,169.0,21.125,76,10,56,3.0,1,23.0,8,4,0,4,0,0,12,8,32,1.14,0.25,2
51,30351.0,1,2,46.0,9.2,14,0,24,3.0,3,2.0,5,3,0,2,0,1,12,9,19,1.06,0.2,1
75,5648.0,2,3,49.0,49.0,28,0,6,1.0,1,13.0,1,1,0,0,1,0,21,20,68,0.3,1.0,1
42,51381.5,1,2,19.0,6.333333333333333,5,5,6,0.0,2,1.0,3,1,0,2,0,0,8,7,11,0.62,0.3333333333333333,1
49,7500.0,0,1,61.0,12.2,6,16,11,11.0,1,16.0,5,2,0,3,0,0,10,8,59,1.62,0.2,1
66,63033.0,0,1,966.5,64.43333333333334,194,61,480,120.5,81,30.0,15,3,4,8,0,0,5,2,82,0.62,0.06666666666666667,1
73,59354.0,2,3,310.0,25.833333333333332,233,2,53,3.0,5,14.0,12,6,1,5,0,0,12,6,53,0.62,0.25,3
38,17323.0,0,1,46.0,11.5,3,14,17,6.0,1,5.0,4,1,0,3,0,0,9,8,38,1.72,0.25,1
79,82800.0,0,1,1315.0,52.6,1006,22,115,59.0,68,45.0,25,7,6,12,2,1,10,3,23,1.59,0.04,1
45,41850.0,2,3,96.0,16.0,53,5,19,2.0,13,4.0,6,3,0,3,0,0,11,8,51,1.51,0.5,3
79,37760.0,0,1,287.5,26.136363636363637,84,5,38,120.5,12,28.0,11,4,1,6,0,0,11,7,20,1.83,0.18181818181818182,2
76,76995.0,1,2,1732.5,72.1875,1012,80,498,0.0,16,126.5,24,11,4,9,1,0,16,5,91,1.25,0.08333333333333333,2
40,33812.0,1,2,133.0,22.166666666666668,4,17,19,30.0,24,39.0,6,2,1,3,0,0,8,6,86,1.65,0.3333333333333333,2
43,37040.0,0,1,316.0,28.727272727272727,86,2,73,69.0,38,48.0,11,4,2,5,0,0,12,8,41,1.89,0.09090909090909091,1
46,2447.0,1,2,561.0,20.035714285714285,1,1,556,1.0,1,1.0,28,0,28,0,0,0,1,1,42,1.48,0.5357142857142857,15
76,58607.0,1,2,972.0,69.42857142857143,867,0,86,0.0,0,19.0,14,2,3,9,1,0,10,8,63,1.51,0.21428571428571427,3
71,65324.0,1,2,544.0,32.0,384,0,102,21.0,32,5.0,17,6,2,9,0,0,10,4,0,0.46,0.17647058823529413,3
74,40689.0,1,2,444.0,34.15384615384615,270,3,27,39.0,6,99.0,13,7,1,5,0,0,15,8,69,1.28,0.5384615384615384,7
56,18589.0,0,1,75.0,12.5,6,4,25,15.0,12,13.0,6,2,1,3,0,0,9,7,89,1.49,0.3333333333333333,2
49,53359.0,2,3,257.0,25.7,173,4,30,3.0,6,41.0,10,5,1,4,0,0,12,7,4,1.09,0.4,4
39,51381.5,1,2,219.5,8.12962962962963,5,1,3,3.0,81,126.5,27,27,0,0,0,0,28,1,19,1.35,0.0,0
36,38360.0,1,2,131.0,18.714285714285715,36,2,42,20.0,21,10.0,7,2,1,4,0,0,5,3,26,1.08,0.2857142857142857,2
60,84618.0,0,1,1408.0,56.32,684,81,556,21.0,66,0.0,25,6,9,10,1,0,8,2,96,0.6,0.04,1
