ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Age,Customer_Tenure_Years,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Average_Spending_per_Purchase,Digital_Engagement,Deal_Dependency,Preferred_Shopping_Channel,Product_Preference,Customer_Activity_Level
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,68,1.82,0,1,1551.5,22,0,70.52272727272727,15,0.13636363636363635,Catalog,Wine,Moderately Active
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,71,0.31,2,3,27.0,4,0,6.75,6,0.5,Store,Wine,Moderately Active
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,0,60,60,0.85,0,1,776.0,20,0,38.8,12,0.05,Store,Wine,Highly Active
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,41,41,0.38,1,2,53.0,6,0,8.833333333333334,8,0.3333333333333333,Store,Meat,Highly Active
5324,1981,Phd,Married,58293.0,1,0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0,44,44,0.44,1,2,422.0,14,0,30.142857142857142,10,0.35714285714285715,Store,Wine,Inactive
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,0,58,58,0.8,1,2,716.0,20,0,35.8,12,0.1,Store,Wine,Highly Active
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,0,54,54,1.62,1,2,590.0,17,0,34.705882352941174,13,0.23529411764705882,Web,Wine,Moderately Active
6177,1985,Phd,Married,33454.0,1,0,2013-05-08,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,40,1.14,1,2,169.0,8,0,21.125,12,0.25,Web,Wine,Moderately Active
4855,1974,Phd,Together,30351.0,1,0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1,51,51,1.06,1,2,46.0,5,0,9.2,12,0.2,Web,Meat,Highly Active
5899,1950,Phd,Together,5648.0,1,1,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0,75,75,0.3,2,3,49.0,1,1,49.0,21,1.0,Web,Wine,Inactive
